,Event name,State,Highest Elevation (feet),Elevation Gain (feet),Average state elevation (feet),Distance (miles)
0,JFK 50 Mile (USA),Maryland,1172,1172,489,50.0
1,American River 50 Mile Endurance Run (USA),California,6332,5456,3048,50.0
2,Way Too Cool 50K Endurance Run (USA),California,1619,4799,3048,31.0
3,Western States 100 Mile Endurance Run (USA),California,8750,18090,3048,100.0
4,Rachel Carson Trail Challenge (USA),Pennsylvania,1619,6653,1100,36.0
5,Leadville Trail 100 Mile (USA),Colorado,12620,18090,6800,100.0
6,The HAT Run 50K (USA),Maryland,1200,4400,489,31.0
7,Sunmart Texas Trail Endurance Run 50 Km (USA),Texas,1200,1200,1700,31.0
8,Quad Dipsea Trail Run (USA),California,1370,9000,3048,28.4
9,Skyline 50k Endurance Run (USA),California,1000,4642,3048,31.0
10,Bull Run Run 50 Miler (USA),Virginia,300,5280,814,50.0
11,Mountain Mist 50k (USA),Alabama,1619,6300,500,31.0
12,Chukanut 50K (USA),Washington,1870,5000,1700,31.0
13,Mountain Masochist 50 Mile Trail Run,Virginia,4034,9000,814,50.0
14,Ice Age Trail 50 Mile Run (USA),Wisconsin,1920,7500,1050,50.0
15,Vermont 100 Mile Endurance Run (USA),Vermont,2855,17000,1142,100.0
16,Promise Land 50K++ (USA),Virginia,1141,8000,814,31.0
17,Huff 50K Trail Run (USA),Indiana,1000,900,760,31.0
18,Squaw Peak 50 Mile Trail Run (USA),Utah,9300,13000,6100,50.0
19,Wasatch Front 100 Mile (USA),Utah,10450,24000,6100,100.0
20,Holiday Lake 50K++ (USA),Virginia,217,2200,814,31.0
21,NYRR knickerbocker 60K (USA),New York,200,2500,912,37.3
22,Avalon Benefit 50-Mile Run (USA),California,2031,6500,3048,50.0
23,OHTC High Desert 50K Ultra (USA),California,3705,2660,3048,31.0
24,McDonald Forest 50K Trail Run (USA),Oregon,2100,6800,3300,31.0
25,Leadville Silver Rush 50 Mile Run (USA),Colorado,12040,8000,6800,50.0
26,Rock/Creek StumpJump 50K (USA),Tennessee,1959,6500,900,31.0
27,Minnesota Voyageur Trail 50 Mile Ultra (USA),Minnesota,1000,1230,1200,50.0
28,Rocky Raccoon 100 Mile Trail Run (USA),Texas,300,5000,1700,100.0
29,Dick Collins Firetrails 50 Mile (USA),California,1500,8219,3048,50.0
30,Crown King Scramble 50K (USA),Arizona,6563,6828,4100,31.0
31,Bulldog 50k Ultra Run (USA),California,2100,6800,3048,31.0
32,Endurance Challenge - California Trail 50 km (USA),California,1500,2810,3048,31.0
33,Endurance Challenge - California Trail 50 Mile (USA),California,1500,8160,3048,50.0
34,Endurance Challenge - Washington D.C. Trail 50 km (USA),Maryland,400,1100,489,31.0
35,White River 50 Mile Trail Run (USA),Washington,5600,8700,1700,50.0
36,Javelina Jundred 100 Mile Endurance Run (USA),Arizona,2480,6200,4100,100.0
37,Strolling Jim 40 Mile (USA),Tennessee,1000,2300,900,40.0
38,Leona Divide 50 Mile Run (USA),California,7500,8000,3048,50.0
39,Blues Cruise 50K Ultra Trail (USA),Pennsylvania,240,240,1100,31.0
40,The Cowtown Marathon (USA),Texas,691,736,1700,26.2
41,Endurance Challenge - New York Trail 50 km (USA),New York,1260,730,912,31.0
42,Afton Trail Run 50K (USA),Minnesota,300,4670,1200,31.0
43,Golden Gate Dirty 30 (USA),Colorado,9500,7520,6800,31.0
44,Shadow of the Giants 50K (USA),California,6286,5000,3048,31.0
45,Vermont 50 Miles Ultra Run (USA),Vermont,2200,8900,1142,50.0
46,Quicksilver 50 km Endurance Run (USA),California,1800,6000,3048,31.0
47,Bighorn Mountain Wild & Scenic 50km Trail Run (USA),Wyoming,9000,17500,6358,31.0
48,Ohlone 50K Wilderness Run (USA),California,2766,7800,3048,31.0
49,Miwok 100k Trail race (USA),California,2200,11800,3048,62.0
50,Siskiyou Out Back 50 km Trail Run (USA),Oregon,7100,4200,3300,31.0
51,The Rut Mountain Runs (USA),Montana,11166,7800,3400,31.0
52,Sylamore Trail 50k Run (USA),Arkansas,1045,2900,512,31.0
53,Tamalpa Headlands 50K (USA),California,2200,6500,3048,31.0
54,Speedgoat 50k (USA),Utah,10980,11400,6100,31.0
55,Moab Red Hot 55k (USA),Utah,5728,4639,6100,34.1
56,McKenzie River 50 km Trail Run (USA),Oregon,2161,3328,3300,30.0
57,San Juan Solstice 50 Mile Run (USA),Colorado,10925,13320,6800,50.0
58,Chicago Lakefront Fall 50K (USA),Illinois,600,100,600,31.0
59,Lake Sonoma 50 Mile Race (USA),California,1150,10500,3048,50.0
60,The Bear 100 Mile Endurance Run (USA),Utah,9043,22816,6100,100.0
61,Mount Cheaha 50K UltraMarathon Race (USA),Alabama,2407,2500,500,31.0
62,Vermont 50 km Ultra Run (USA),Vermont,2200,8900,1142,31.0
63,Stone Mill 50 Mile Run (USA),Maryland,1000,6000,489,50.0
64,Black Canyon Trail 100 Km Run (USA),Arizona,1700,5254,4100,62.0
65,Angeles Crest 100 Mile (USA),California,9300,24000,3048,100.0
66,Ice Age Trail 50 km Run (USA),Wisconsin,1600,3800,1050,31.0
67,Umstead Endurance Run 100 Miles (USA),North Carolina,300,2500,535,100.0
68,Tunnel Hill 50 Mile Race (USA),Illinois,520,5200,600,50.0
69,Catoctin 50k Trail Run (USA),Maryland,1800,6000,489,31.0
70,Jed Smith Ultra Classic - 50 Km Race (USA),California,200,100,3048,31.0
71,Highlands Sky 40M Trail Run (USA),West Virginia,4856,5474,1500,40.0
72,Sunmart Texas Trail Endurance Run 50 Mile (USA),Texas,400,2000,1700,50.0
73,Noble Canyon 50k (USA),California,4000,4180,3048,31.0
74,Hagg Lake Traile Runs 50K (USA),Oregon,1200,2500,3300,31.0
75,Endurance Challenge - New York Trail 50 Miles (USA),New York,1200,1600,912,50.0
76,Terrapin Mountain 50K (USA),Virginia,3800,12500,814,31.0
77,Massanutten Mountain Trails 100 Mile (USA),Virginia,2900,18000,814,100.0
78,Mount Mitchell Challenge (USA),North Carolina,6684,4324,535,40.0
79,Le Grizz 50 Mile Ultramarathon (USA),Montana,5000,6000,3400,50.0
80,Arkansas Traveller 100 (USA),Arkansas,2600,12000,512,100.0
81,Umstead Endurance Run 50 Miles (USA),North Carolina,300,2500,535,50.0
82,Pineland Farms 50 km Trail Running (USA),Maine,1000,2500,600,31.0
83,Buckeye Trail 50k (USA),Ohio,1000,2500,850,31.0
84,Endurance Challenge - Washington D.C. Trail 50 Miles (USA),Virgnia,1200,5000,814,50.0
85,Salem Lakeshore Frosty Fifty (USA),North Carolina,500,1000,535,31.0
86,Marine Corps 50km Marathon Race (USA),Virginia,400,1000,814,31.0
87,Orcas Island 50k (USA),Washington,2409,8400,1700,31.0
88,Enurance Challenge - Wisconsin Trail 50 km (USA),Wisconsin,1600,3800,1050,31.0
89,Holcomb Valley 33 Mile (USA),California,8000,6000,3048,33.0
90,Mohican trail 100 Mile (USA),Ohio,1500,7700,850,100.0
91,Bighorn Mountain Wild & Scenic 50mi Trail Run (USA),Wyoming,10000,20500,6700,50.0
92,Baker Lake 50K Ultra Trail Run (USA),Washington,1500,3000,1700,31.0
93,Chippewa Moraine 50km Ultra Marathon (USA),Wisconsin,1200,2500,1050,31.0
94,Superior Spring 50 km Trail Race (USA),Minnesota,2500,4200,1200,31.0
95,Trail Mix Race (USA),Minnesota,1200,1000,1200,31.0
96,Capon Valley 50K Run (USA),West Virginia,1200,2500,1500,31.0
97,Chicago Lakefront Spring 50K (USA),Illinois,200,100,600,31.0
98,Hardrock Hundred Endurance Run (USA),Colorado,14048,33197,6800,100.0
99,Burning River 100 Mile Endurance Run (USA),Ohio,1360,8000,850,100.0
